product_category,current_date,forecast_date,current_intent,forecast_intent,forecast_change,forecast_change_pct,trend_slope,forecast_horizon_days
coffee_drink,2024-01-30,2024-04-29,0.6088979244232178,0.41938812817846194,-0.18950979624475583,-31.123409793894456,-0.0021320897144275538,90
energy_drink,2024-01-30,2024-04-29,0.6092349886894226,0.5710758067312699,-0.03815918195815271,-6.263458709132938,-0.0005369007914930863,90
soda,2024-01-30,2024-04-29,0.6176583766937256,0.5007082585777543,-0.11695011811597134,-18.934434070496327,-0.0012425568405088612,90
tea,2024-01-30,2024-04-29,0.6067688465118408,0.7159303128719322,0.10916146636009139,17.990618171587546,0.0010258599952026957,90
water_enhanced,2024-01-30,2024-04-29,0.6227349440256754,0.504618876746721,-0.1181160672789544,-18.96730999474545,-0.001251061440824167,90
juice,2024-01-30,2024-04-29,0.7271655797958374,1.0812800313745208,0.3541144515786834,48.69791164731784,0.004065971322112013,90
sports_drink,2024-01-30,2024-04-29,0.6139547228813171,0.34972861379084147,-0.26422610909047567,-43.036741838298866,-0.00289626374389184,90
