Timestamp,Prolific ID,Age Range,Column 3,Region (state you live in),"Dietary Restrictions (vegan, halal, gluten-free, etc.)", Which describes you best most weeks?,Pick your top 3 priorities when choosing fast food.,Top 5 chains you eat most? (list),Choose favorite fast food restaurant + favorite menu item,What was your first impression / memory of the food?,Any customizations?,Rate the crispiness. ,Rate the juiciness. ,Rate the greasiness/oiliness. ,Rate the saltiness.,Rate the spice heat.,Rate the sweetness.,How ‘fresh’ did it taste? ,Texture overall?,Flavor profile?,Aftertaste?,Was it made correctly?,Temperature?,Portion Size,"If this wasn’t available, what would you get instead? (chain + item)",Would you pair this with anything next time?,Does it beat your usual pick?,Where did you get it?,Where were you when deciding?,What’s the occasion?,Time of day?,Were you alone or with people?,What price did you see (roughly) for the main item?,Did you use a deal/coupon/points?,Was anything you wanted unavailable?,"Compared to your last fast-food order, did anything change in what you wanted today?",What was the main trigger for choosing this today?,Was this planned or spontaneous?,What time constraint were you under?,Did you switch from your usual chain or usual item today?,Why did you switch?,Did you choose this mainly because of a deal?,"If there were no deals anywhere, what would you have done?",Are you feeling more price sensitive than you were 2–4 weeks ago?,What caused that change?,Are you feeling more price sensitive than you were last year?,Are you currently trying to eat healthier than you were 2–4 weeks ago?,Are you currently trying to eat healthier than you were last year?,What’s driving that?,Did you recently start or stop something?,Are you more in explore mode or routine mode lately?,What’s driving that?,"If you liked this new item, what’s the reason you’d repeat it?",Did this order feel like an automatic/default decision? (0–10),What made it default?,"If you’ve been repeating a lot lately, why?",Did anyone influence your choice for order?,What would influence you to change your oder,Do your friends / roommates eating differently or trying new things change your order?,Which mode best describes the past 7 days?,What caused that mode?,Do you think this mode will continue next week?,Do you think this mode will continue next month?,Do you think this mode will continue next year?
12/17/2025 12:33:21,5a4bf09053a4560001ba0ebf,35–44,,Florida,None,value-first,"taste, price, convenience","McDonald's, Taco Bell, Wendy's, Denny's, Applebee's","McDonald's, Big Mac",I associated McDonald's with my childhood. It was very tasty and it brought me a lot of comfort and gave me something to look forward to after school.,No pickles,2,3,4,4,1,1,3,chewy,savory,lingering,perfect,just right,normal,"Burger King, Whopper",fries,no,drive-thru,home,dinner,7 PM,alone,6,app deal,no,mood,craving,spontaneous,none,chain,deal,partly,Eaten food I had at home.,Maybe,just trying to be disciplined,Yes,Yes,Yes,fitness goal,gym routine,mixed,boredom,it feels like a treat,2,close location,convenience,No,"Price, convenience, healthiness.",Maybe,budget,goals,Yes,Yes,Yes
12/17/2025 12:39:55,6060ddd26de46b745d90990c,25–34,,Missouri,Halal,health-first,"taste, health, social","McDonald's, Starbucks, Chick-fil-A, Subway and Taco Bell",Favorite Fast Food Restaurant: Chick-fil-A  and Favorite Menu Item: Chicken Sandwich,"Crispy, flavorful, and satisfying—felt like a quick but tasty treat.",swap fries,5,4,2,3,4,2,5,crispy,creamy,clean,perfect,just right,normal,McDonald’s – Big Mac,coffee,yes,drive-thru,work,hangover,Evening,friends,20,none,no,health goals,saw an ad,spontaneous,none,chain,boredom,no,Pay full price or choose a cheaper menu item.,No,spending too much,No,Yes,Maybe,fitness goal,travel,routine,friends/social media,it fits my current goals,5,reliable taste,convenience,No,n/a,No,health,busy week,No,No,No
12/17/2025 12:41:01,6631bff86583e84ea1f7b232,45–54,,NC,None,convenience-first,"taste, price, convenience","Zaxby's, Jumbo China, Pizza Hut, Bo Jangles, Alpaca",Zaxby's Chicken Fingers Plate,The taste,extra sauce,5,5,3,4,4,4,5,crispy,savory,clean,perfect,just right,large,Alpaca,fries,yes,delivery,home,lunch,2:00 pm,alone,13,none,no,health goals,craving,planned,none,no,health mode,no,Just ordered,No,just trying to be disciplined,No,Yes,Yes,weight goal,gym routine,explore,trying to save money,it feels like a treat,5,reliable taste,convenience,No,None,Maybe,budget,payday,Yes,Yes,Maybe
12/17/2025 12:48:30,67edb75b0744561f1cf6ff9d,45–54,Option 1,texas,none,health-first,"taste, price, health","McDonald’s 
Starbucks
Subway 
KFC 
Chipotle ",McDonald’s ,delicious,no mayo,4,4,4,3,4,4,5,tender,savory,lingering,perfect,just right,normal,KFC  chicken and chips,dessert,,,work,lunch,2pm,alone,30,none,no,health goals,craving,spontaneous,none,no,convenience,no,pay,No,prices went up,No,Yes,Yes,fitness goal,diet plan,routine,friends/social media,it fits my current goals,4,consistent price,comfort,No,nothing,Yes,convenience,goals,Yes,Yes,Yes
12/17/2025 12:50:09,67a6b3afa7ded99142842424,35–44,Option 1,Texas,N/A,routine eater,"taste, price, convenience","Chick-Fil-A, Whataburger, Wendy's, Jersey Mike's, Schlotzky's","Jersey Mike's, #5 on rosemary parmesan toasted on the grill",Stopping in for lunch when they first came to the area and getting a fast food sandwich that actually had flavor.,no mayo,3,1,1,3,1,1,4,chewy,savory,clean,perfect,just right,normal,"Wendy's, Spicy Chicken Nugget combo",fries,no,drive-thru,commuting,lunch,Noon,alone,$11 with tax.,none,no,convenience,was nearby,spontaneous,mild,chain,convenience,no,I don't pay attention to fast food deals really.,Yes,saving goal,Yes,No,Yes,weight goal,schedule change,routine,comfort routine,it’s convenient,5,reliable taste,convenience,No,"Changes to the flavor - lack of spice, etc.",No,convenience,busy week,Yes,Yes,Yes
12/17/2025 12:53:00,67074e69ec4f26e98f7d5614,25–34,Option 1,Indiana,n/a,routine eater,"taste, price, speed","Burger King
Mcdonalds
Arby's
Pizza Hut
Dominos",Dominos Chicken Bacon Ranch Pizza,"I remember it was a lot of food for the price and I loved the seasoning, texture, flavor and everything about it.",as is,4,3,3,2,1,2,5,crispy,cheesy,lingering,perfect,just right,large,Taco Bell Cheesy Double Beef Burrito,sauce,no,drive-thru,home,dinner,4 pm,family,7.00 dollars,app deal,no,cravings,craving,spontaneous,mild,chain,limited options,partly,go with the cheapest of my favorites,Maybe,just trying to be disciplined,Maybe,No,Yes,medical/diet restriction,medication/supplement,routine,comfort routine,it’s a good value,4,reliable taste,comfort,Yes,What other people eating with me want,Maybe,stressed,stress,Yes,Yes,Yes
12/17/2025 12:53:29,668f70a9f8bd1160989f46cd,18–24,,New Mexico,None,health-first,"taste, convenience, novelty","Chipotle, Chic-Fil-A, Wendys, Panda Express, Taco Bell",Chic-Fil-A - Spicy Chicken Sandwich,"Tasted amazing, got it fresh and really enjoyed it.",,4,4,3,4,5,1,5,tender,savory,clean,perfect,just right,normal,Wendys - Spicy chicken nuggets,fries,no,drive-thru,home,late-night,"Late night, either for dinner or post dinner.",family,$6.49,none,no,cravings,wanted a treat,spontaneous,none,no,,no,,Maybe,spending too much,Yes,Yes,Yes,fitness goal,gym routine,explore,stress,it feels like a treat,4,fast,convenience,No,,No,health,goals,Yes,Maybe,Maybe
12/17/2025 12:55:54,5ebb96b6cd673a0008ace9ce,25–34,,Texas,None,convenience-first,"taste, price, convenience","McDonald's, Taco Bell, Burger King, Chick fil A, Subway",Taco Bell + Nacho BellGrande,"I tasted it around 13 years ago, and I recall it being quite tasty even at first taste, and that made it one of my fast food favorites.",no mayo,3,4,5,4,3,1,4,chewy,savory,oily,perfect,just right,normal,Subway + Footlong sub,fries,no,,commuting,dinner,Night time,alone,$12,coupon,no,mood,saw a deal,planned,none,no,deal,partly,Get a McChicken from McDonald's.,No,just trying to be disciplined,No,No,Maybe,weight goal,gym routine,routine,trying to save money,it feels like a treat,2,easy ordering,convenience,No,New deals from new restaurants on new items.,No,budget,stress,Maybe,No,No
12/17/2025 13:00:31,67537f5a035398beef5894bf,25–34,Option 1,FL,N/A,routine eater,"taste, health, convenience","Dominos, La Granja","Dominos, Pizza","A couple years ago, eating with my brother.",No cheese.,4,4,4,4,2,2,3,crispy,savory,oily,perfect,just right,large,Do not eat any other fast food.,coffee,no,pickup,home,dinner,8:00 PM,family,10,app deal,no,cravings,wanted a treat,spontaneous,none,no,,partly,Still gone.,No,just trying to be disciplined,No,No,No,weight goal,gym routine,routine,comfort routine,it feels like a treat,3,reliable taste,comfort,No,Friends/family and their wants.,No,health,goals,Yes,Yes,No
12/17/2025 13:21:44,5cc8a32f7639bd0001ccce85,25–34,,Florida,None,convenience-first,"taste, price, convenience","Dominos, McDonald’s, Chick fil A, and Wendy’s ",Chick fil a + spicy chicken sandwich meal,It was soo good,None,4,4,4,3,4,3,4,crispy,savory,lingering,perfect,just right,normal,Chicken nugget meal,fries,no,delivery,home,lunch,1pm,alone,15$,none,no,mood,craving,spontaneous,none,no,convenience,no,Figure something out,Yes,saving goal,Yes,No,No,new routine,gym routine,mixed,comfort routine,it’s convenient,4,reliable taste,convenience,No,A craving for something else,No,budget,goals,Yes,Maybe,Maybe
